Product_ID,failure_risk,scheduled_at,recommendation
50286,0.6407163540038783,2025-09-08 13:13:07.495398,Inspect within 7 days
52914,0.8456042606200911,2025-09-08 13:13:07.495398,Inspect within 7 days
53337,0.9030942647965983,2025-09-08 13:13:07.495398,Inspect within 7 days
19157,0.6037023710714516,2025-09-08 13:13:07.495398,Inspect within 7 days
49054,0.8278531182005241,2025-09-08 13:13:07.495398,Inspect within 7 days
33443,0.715819473646091,2025-09-08 13:13:07.495398,Inspect within 7 days
33435,0.904176786446692,2025-09-08 13:13:07.495398,Inspect within 7 days
56672,0.7864042927227566,2025-09-08 13:13:07.495398,Inspect within 7 days
52832,0.9889276063609169,2025-09-08 13:13:07.495398,Inspect within 7 days
52701,0.9163372170296815,2025-09-08 13:13:07.495398,Inspect within 7 days
56649,0.6803101899098389,2025-09-08 13:13:07.495398,Inspect within 7 days
21371,0.6154055805551433,2025-09-08 13:13:07.495398,Inspect within 7 days
54222,0.762356410927604,2025-09-08 13:13:07.495398,Inspect within 7 days
57008,0.7982686550640308,2025-09-08 13:13:07.495398,Inspect within 7 days
55016,0.650830237560305,2025-09-08 13:13:07.495398,Inspect within 7 days
49941,0.9939779195580778,2025-09-08 13:13:07.495398,Inspect within 7 days
54828,0.6438121827353891,2025-09-08 13:13:07.495398,Inspect within 7 days
53004,0.7388861025359855,2025-09-08 13:13:07.495398,Inspect within 7 days
50039,0.8009404973322208,2025-09-08 13:13:07.495398,Inspect within 7 days
51769,0.7113124033768171,2025-09-08 13:13:07.495398,Inspect within 7 days
36250,0.9089493123072598,2025-09-08 13:13:07.495398,Inspect within 7 days
51183,0.7210569618419691,2025-09-08 13:13:07.495398,Inspect within 7 days
50408,0.9552424424134051,2025-09-08 13:13:07.495398,Inspect within 7 days
52110,0.9116510429552382,2025-09-08 13:13:07.495398,Inspect within 7 days
51575,0.9694211968431836,2025-09-08 13:13:07.495398,Inspect within 7 days
53271,0.6258527461987995,2025-09-08 13:13:07.495398,Inspect within 7 days
50342,0.6459445795938179,2025-09-08 13:13:07.495398,Inspect within 7 days
47319,0.9034788617420999,2025-09-08 13:13:07.495398,Inspect within 7 days
53263,0.6573668797214529,2025-09-08 13:13:07.495398,Inspect within 7 days
51908,0.71645868913352,2025-09-08 13:13:07.495398,Inspect within 7 days
19597,0.9613809655405176,2025-09-08 13:13:07.495398,Inspect within 7 days
